	VAD	BE	Avg
English Spanish	0.784657864302	0.803582859303	0.794
English Spanish German	0.785623814265	0.800748379226	0.793
English German	0.758220203539	0.806348552308	0.782
English Spanish Polish German	0.770748217882	0.793915596245	0.782
English Polish	0.758095974861	0.803968828205	0.781
English Spanish Polish	0.766251491908	0.796019664474	0.781
English Polish German	0.762653321355	0.797789522941	0.78
Spanish German	0.761730543848	0.793693482217	0.778
Spanish Polish German	0.754451088444	0.778612350804	0.767
Spanish Polish	0.747398687201	0.781632472876	0.765
Polish German	0.729616390686	0.780548698264	0.755
