	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.9329	0.808	0.7716	0.7877	0.6955	0.7992
2	0.9584	0.8087	0.8126	0.7874	0.7327	0.82
3	0.9593	0.837	0.8062	0.8125	0.7094	0.8249
4	0.9526	0.8301	0.7753	0.802	0.7215	0.8163
5	0.9561	0.8145	0.8327	0.8107	0.772	0.8372
6	0.9492	0.839	0.8097	0.8169	0.7273	0.8285
7	0.9425	0.8233	0.8	0.7895	0.7547	0.822
8	0.9462	0.8248	0.8583	0.8304	0.724	0.8367
9	0.9459	0.847	0.8172	0.7837	0.7356	0.8259
10	0.9326	0.8194	0.8126	0.7851	0.6909	0.8081
SD	0.0178	0.0348	0.0463	0.0404	0.0509	0.038
Average	0.9476	0.8252	0.8096	0.8006	0.7264	0.8218
