	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.9399	0.833	0.769	0.8076	0.7459	0.8191
2	0.9616	0.813	0.7904	0.8157	0.7167	0.8195
3	0.9624	0.8701	0.7801	0.846	0.7473	0.8412
4	0.9548	0.8451	0.7811	0.801	0.7214	0.8207
5	0.9573	0.8446	0.8271	0.8516	0.7652	0.8492
6	0.9517	0.8357	0.7874	0.8347	0.7489	0.8317
7	0.9453	0.8233	0.8044	0.831	0.7672	0.8343
8	0.9483	0.8627	0.856	0.8715	0.7845	0.8646
9	0.9443	0.8577	0.8217	0.8303	0.7456	0.8399
10	0.9355	0.8512	0.781	0.8352	0.7208	0.8247
SD	0.0163	0.0399	0.0481	0.0467	0.0494	0.0401
Average	0.9501	0.8436	0.7998	0.8324	0.7464	0.8345
