	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.557	0.6656	0.5578	0.709	0.4777	0.5934
2	0.6211	0.6195	0.5877	0.7454	0.4707	0.6089
3	0.6356	0.7068	0.6512	0.7398	0.5149	0.6497
4	0.6283	0.6642	0.5858	0.7428	0.4705	0.6183
5	0.6368	0.6936	0.6924	0.7811	0.5764	0.676
6	0.5857	0.5584	0.6084	0.7196	0.4661	0.5876
7	0.6593	0.6565	0.6482	0.7572	0.5264	0.6495
8	0.6045	0.7366	0.7194	0.7826	0.5562	0.6799
9	0.619	0.6606	0.6487	0.7172	0.4928	0.6276
10	0.585	0.6751	0.6628	0.7436	0.5695	0.6472
SD	0.0649	0.0736	0.076	0.0458	0.0801	0.0681
Average	0.6132	0.6637	0.6362	0.7438	0.5121	0.6338
