	Joy	Anger	Sadness	Fear	Disgust	Average
1	-0.003	-0.0236	0.0083	-0.0322	-0.0461	-0.0193
2	0.0005	-0.0149	0.003	-0.058	0.0119	-0.0115
3	-0.0026	-0.0381	0.0018	-0.0531	-0.0488	-0.0282
4	-0.0035	-0.0219	0.0053	-0.0257	-0.0108	-0.0113
5	-0.0001	-0.0326	-0.0017	-0.0456	0.0129	-0.0134
6	-0.002	-0.0121	-0.0096	-0.0429	-0.0271	-0.0187
7	-0.0026	-0.012	0.0015	-0.0565	-0.0145	-0.0168
8	0.0007	-0.0395	-0.0117	-0.0459	-0.0543	-0.0302
9	0.0014	-0.0134	0.0058	-0.0652	-0.0105	-0.0164
10	0.0005	-0.0294	0.0055	-0.0568	-0.0152	-0.0191
SD	0.0004	-0.0005	-0.0026	0.003	0.0048	0.001
Average	-0.0011	-0.0238	0.0008	-0.0482	-0.0202	-0.0185
