	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.0041	0.0014	0.0057	-0.0123	0.0043	0.0006
2	0.0037	-0.0106	-0.0192	-0.0297	-0.0041	-0.012
3	0.0005	-0.0049	-0.0243	-0.0196	-0.0109	-0.0118
4	-0.0014	-0.0069	0.0111	-0.0268	-0.0109	-0.007
5	0.0011	-0.0025	-0.0073	-0.0047	0.0061	-0.0015
6	0.0005	-0.0155	-0.0319	-0.0251	-0.0055	-0.0155
7	0.0002	-0.012	0.0059	-0.0149	-0.0019	-0.0045
8	0.0028	-0.0016	-0.014	-0.0048	0.0062	-0.0023
9	-0.0002	-0.0027	0.0102	-0.0186	-0.0005	-0.0024
10	0.0034	0.0024	-0.0261	-0.0067	0.0147	-0.0025
SD	-0.0011	0.0046	-0.0008	0.0093	0.0033	0.003
Average	0.0015	-0.0053	-0.009	-0.0164	-0.0002	-0.0058
