	Joy	Anger	Sadness	Fear	Disgust	Average
1	-0.3789	-0.166	-0.2055	-0.1109	-0.2639	-0.225
2	-0.3369	-0.204	-0.222	-0.1	-0.2501	-0.2226
3	-0.3262	-0.1683	-0.1532	-0.1257	-0.2432	-0.2033
4	-0.3278	-0.1879	-0.1842	-0.0849	-0.2618	-0.2093
5	-0.3195	-0.1535	-0.142	-0.0753	-0.1827	-0.1746
6	-0.3655	-0.2927	-0.2109	-0.1402	-0.2883	-0.2595
7	-0.2858	-0.1787	-0.1503	-0.0887	-0.2428	-0.1893
8	-0.341	-0.1277	-0.1507	-0.0937	-0.2222	-0.1871
9	-0.3255	-0.1998	-0.1628	-0.1317	-0.2533	-0.2146
10	-0.3471	-0.1737	-0.1443	-0.0983	-0.1366	-0.18
SD	0.0475	0.0384	0.0271	0.0084	0.034	0.031
Average	-0.3354	-0.1853	-0.1726	-0.105	-0.2345	-0.2065
