	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.9358	0.8316	0.7633	0.8199	0.7416	0.8184
2	0.958	0.8236	0.8096	0.8454	0.7208	0.8315
3	0.9618	0.8751	0.8044	0.8656	0.7582	0.853
4	0.9561	0.8521	0.77	0.8278	0.7323	0.8276
5	0.9563	0.8471	0.8344	0.8564	0.7591	0.8506
6	0.9512	0.8511	0.8193	0.8599	0.7544	0.8472
7	0.9451	0.8353	0.7985	0.8459	0.7691	0.8388
8	0.9455	0.8643	0.8701	0.8763	0.7784	0.8669
9	0.9445	0.8604	0.8115	0.8489	0.7461	0.8423
10	0.9321	0.8488	0.8071	0.8419	0.7061	0.8272
SD	0.0174	0.0352	0.0489	0.0374	0.0461	0.037
Average	0.9487	0.849	0.8088	0.8488	0.7466	0.8403
