	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.9583	0.8091	0.836	0.7483	0.8068	0.8317
2	0.9603	0.8433	0.8804	0.8122	0.7564	0.8505
3	0.9501	0.8406	0.8758	0.7424	0.7459	0.8309
4	0.9536	0.7966	0.7927	0.7121	0.8325	0.8175
5	0.97	0.8512	0.8902	0.76	0.7794	0.8502
6	0.9636	0.831	0.8136	0.7742	0.7415	0.8248
7	0.9667	0.851	0.8817	0.797	0.8195	0.8632
8	0.9505	0.806	0.8504	0.7539	0.772	0.8266
9	0.9486	0.8164	0.8545	0.7076	0.8013	0.8257
10	0.9703	0.8268	0.8609	0.78	0.7856	0.8447
SD	0.0083	0.0195	0.0317	0.0337	0.031	0.0248
Average	0.9592	0.8272	0.8536	0.7588	0.7841	0.8366
