	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.9553	0.8636	0.8285	0.8551	0.8104	0.8626
2	0.964	0.8665	0.8577	0.8582	0.7216	0.8536
3	0.9488	0.8741	0.8489	0.8234	0.7237	0.8438
4	0.9521	0.8604	0.7874	0.8169	0.8178	0.8469
5	0.9683	0.8713	0.8563	0.8694	0.7665	0.8664
6	0.9679	0.8928	0.8416	0.8733	0.7322	0.8616
7	0.9668	0.8303	0.8531	0.8727	0.7911	0.8628
8	0.9518	0.8512	0.8163	0.8074	0.8184	0.849
9	0.9521	0.8646	0.8403	0.8615	0.7827	0.8603
10	0.9625	0.8429	0.8795	0.8294	0.7531	0.8535
SD	0.0077	0.0173	0.0255	0.0249	0.0381	0.0227
Average	0.959	0.8618	0.841	0.8467	0.7718	0.856
