	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.0063	-0.0588	0.0024	-0.1067	-0.0333	-0.038
2	-0.0007	-0.0342	0.0057	-0.0651	0.0117	-0.0165
3	-0.0026	-0.0462	0.0019	-0.1112	-0.0095	-0.0336
4	0.0085	-0.0664	-0.0366	-0.106	-0.0012	-0.0403
5	0.0027	-0.0115	0.0048	-0.1267	-0.018	-0.0297
6	-0.0011	-0.0628	-0.0212	-0.0985	-0.0127	-0.0392
7	0.0031	0.0106	0.007	-0.078	-0.0046	-0.0124
8	-0.0029	-0.0532	0.0015	-0.0614	-0.0394	-0.031
9	-0.0032	-0.0669	-0.0173	-0.1755	-0.021	-0.0568
10	0.0037	-0.0167	-0.0213	-0.0816	0.0462	-0.014
SD	0.0006	0.0018	0.0099	0.0084	-0.0087	0.0023
Average	0.0014	-0.0406	-0.0073	-0.101	-0.0082	-0.0311
