	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.0033	-0.0043	-0.0051	0.0001	-0.0297	-0.0071
2	0.003	-0.011	-0.017	-0.0191	-0.0231	-0.0134
3	-0.0039	-0.0127	-0.025	-0.0302	-0.0317	-0.0207
4	0.007	-0.0026	-0.0419	-0.0012	-0.0159	-0.0109
5	0.001	0.0086	-0.0291	-0.0173	-0.0309	-0.0135
6	0.0032	-0.001	0.0068	0.0006	-0.022	-0.0024
7	0.0032	-0.0101	-0.0216	-0.0023	-0.033	-0.0128
8	-0.0016	-0.008	-0.0326	-0.0079	0.007	-0.0086
9	0.0003	-0.0187	-0.0315	-0.0216	-0.0396	-0.0222
10	-0.0041	-0.0006	-0.0027	-0.0322	0.0137	-0.0052
SD	0.0	-0.0004	0.0037	-0.0004	-0.0016	0.0002
Average	0.0012	-0.006	-0.0199	-0.0131	-0.0205	-0.0117
