	Joy	Anger	Sadness	Fear	Disgust	Average
1	-0.1079	-0.0721	-0.0466	-0.044	-0.1881	-0.0917
2	-0.1105	-0.1004	-0.0382	-0.027	-0.1235	-0.0799
3	-0.1655	-0.1418	-0.0579	-0.0435	-0.1341	-0.1086
4	-0.1573	-0.1008	-0.0743	0.0318	-0.0611	-0.0723
5	-0.1793	-0.1287	-0.0628	-0.029	-0.259	-0.1318
6	-0.12	-0.0753	-0.0322	-0.0563	-0.1146	-0.0796
7	-0.1929	-0.2119	-0.0804	-0.0486	-0.2322	-0.1533
8	-0.205	-0.1598	-0.0481	-0.0272	-0.0887	-0.1057
9	-0.1128	-0.1504	-0.0664	0.0242	-0.2687	-0.1149
10	-0.11	-0.1112	-0.0835	-0.0123	-0.0998	-0.0834
SD	0.0315	0.0354	0.0001	0.0084	0.0311	0.0212
Average	-0.1461	-0.1252	-0.059	-0.0231	-0.157	-0.1021
