	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.952	0.8679	0.8336	0.855	0.8401	0.8697
2	0.961	0.8775	0.8747	0.8773	0.7447	0.867
3	0.9527	0.8868	0.8739	0.8536	0.7554	0.8645
4	0.9451	0.863	0.8293	0.8181	0.8337	0.8578
5	0.9673	0.8627	0.8854	0.8867	0.7974	0.8799
6	0.9647	0.8938	0.8348	0.8727	0.7542	0.864
7	0.9636	0.8404	0.8747	0.875	0.8241	0.8756
8	0.9534	0.8592	0.8489	0.8153	0.8114	0.8576
9	0.9518	0.8833	0.8718	0.8831	0.8223	0.8825
10	0.9666	0.8435	0.8822	0.8616	0.7394	0.8587
SD	0.0077	0.0177	0.0218	0.0253	0.0397	0.0225
Average	0.9578	0.8678	0.8609	0.8598	0.7923	0.8677
