	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.9564	0.8355	0.8212	0.7931	0.7533	0.8319
2	0.9656	0.8587	0.9028	0.7898	0.787	0.8608
3	0.9641	0.8243	0.8654	0.7796	0.8268	0.852
4	0.9714	0.8855	0.9032	0.8359	0.7634	0.8719
5	0.9488	0.8076	0.8624	0.7869	0.8306	0.8473
6	0.9717	0.8596	0.8721	0.7404	0.785	0.8458
7	0.9492	0.8203	0.8277	0.6891	0.7429	0.8058
8	0.9555	0.8025	0.8684	0.7939	0.8132	0.8467
9	0.9588	0.8287	0.8404	0.7058	0.7805	0.8228
10	0.9532	0.7774	0.8349	0.7342	0.7439	0.8087
SD	0.0084	0.0316	0.0289	0.0457	0.0325	0.0294
Average	0.9595	0.83	0.8599	0.7649	0.7827	0.8394
