	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.9531	0.8705	0.8339	0.7999	0.7738	0.8462
2	0.9644	0.8786	0.8783	0.8486	0.7781	0.8696
3	0.9653	0.8739	0.8187	0.8579	0.8288	0.8689
4	0.9692	0.9084	0.8802	0.8814	0.7617	0.8802
5	0.9538	0.8573	0.8485	0.8696	0.8029	0.8664
6	0.9704	0.8782	0.8234	0.8246	0.7616	0.8517
7	0.9487	0.822	0.8053	0.8004	0.7479	0.8248
8	0.952	0.8627	0.8663	0.8919	0.7986	0.8743
9	0.9606	0.8718	0.851	0.8447	0.7435	0.8543
10	0.9543	0.821	0.844	0.8785	0.7283	0.8452
SD	0.0078	0.0264	0.0252	0.0327	0.0306	0.0245
Average	0.9592	0.8644	0.845	0.8497	0.7725	0.8582
