	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.7895	0.7305	0.7494	0.7829	0.5637	0.7232
2	0.8389	0.7863	0.8401	0.8779	0.6597	0.8006
3	0.8049	0.773	0.8634	0.8535	0.6998	0.7989
4	0.8166	0.7524	0.8228	0.8827	0.6014	0.7752
5	0.8265	0.7879	0.8393	0.8675	0.6849	0.8012
6	0.8459	0.7226	0.8057	0.814	0.6407	0.7658
7	0.7794	0.672	0.712	0.7901	0.619	0.7145
8	0.7913	0.7331	0.7512	0.8272	0.6508	0.7507
9	0.8082	0.7607	0.7886	0.8128	0.5559	0.7452
10	0.8575	0.7806	0.8358	0.8483	0.7222	0.8089
SD	0.026	0.0363	0.0492	0.0356	0.0555	0.0405
Average	0.8159	0.7499	0.8008	0.8357	0.6398	0.7684
