	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.0051	-0.048	-0.0128	-0.0239	-0.0315	-0.0222
2	0.0015	-0.0208	0.01	-0.0691	-0.0054	-0.0167
3	-0.002	-0.0541	-0.0038	-0.107	-0.0306	-0.0395
4	-0.0007	-0.022	0.0002	-0.0607	0.0146	-0.0137
5	-0.0042	-0.0531	-0.0168	-0.0941	0.012	-0.0312
6	0.0032	-0.0161	-0.001	-0.1142	0.0193	-0.0217
7	-0.0009	-0.0054	0.029	-0.13	-0.0379	-0.0291
8	0.0058	-0.0699	-0.0094	-0.094	-0.0194	-0.0374
9	-0.0026	-0.0324	-0.0092	-0.155	0.0288	-0.0341
10	0.0056	-0.0613	-0.0255	-0.1429	-0.0067	-0.0462
SD	-0.0006	0.0083	-0.0014	0.0179	-0.0049	0.0038
Average	0.0011	-0.0383	-0.0039	-0.0991	-0.0056	-0.0292
