	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.0018	-0.013	-0.0001	-0.0171	-0.011	-0.0079
2	0.0003	-0.0009	-0.0145	-0.0103	-0.0143	-0.0079
3	-0.0008	-0.0045	-0.0505	-0.0287	-0.0286	-0.0226
4	-0.0029	0.0009	-0.0228	-0.0152	0.0129	-0.0054
5	0.0008	-0.0034	-0.0307	-0.0114	-0.0157	-0.0121
6	0.0019	0.0025	-0.0497	-0.03	-0.0041	-0.0158
7	-0.0014	-0.0037	0.0066	-0.0187	-0.0329	-0.0101
8	0.0023	-0.0097	-0.0115	0.004	-0.034	-0.0098
9	-0.0008	0.0107	0.0014	-0.0161	-0.0082	-0.0026
10	0.0067	-0.0177	-0.0164	0.0014	-0.0223	-0.0097
SD	-0.0012	0.0031	-0.0051	0.0049	-0.0068	-0.0011
Average	0.0008	-0.0039	-0.0188	-0.0143	-0.0158	-0.0104
