	Joy	Anger	Sadness	Fear	Disgust	Average
1	-0.1618	-0.153	-0.0846	-0.0341	-0.2211	-0.1309
2	-0.1252	-0.0932	-0.0527	0.019	-0.1327	-0.0769
3	-0.1612	-0.1054	-0.0058	-0.0331	-0.1576	-0.0926
4	-0.1555	-0.1551	-0.0802	-0.0139	-0.1474	-0.1104
5	-0.1265	-0.0728	-0.0399	-0.0135	-0.1337	-0.0773
6	-0.1226	-0.1531	-0.0674	-0.0406	-0.125	-0.1017
7	-0.1707	-0.1537	-0.0867	-0.029	-0.1618	-0.1204
8	-0.1584	-0.1393	-0.1266	-0.0607	-0.1818	-0.1334
9	-0.1532	-0.1004	-0.061	-0.048	-0.1958	-0.1117
10	-0.0901	-0.0581	-0.0246	-0.0288	-0.0284	-0.046
SD	0.017	0.013	0.0189	0.0078	0.0181	0.0149
Average	-0.1425	-0.1184	-0.063	-0.0283	-0.1485	-0.1002
