	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.9513	0.8835	0.834	0.817	0.7848	0.8541
2	0.9641	0.8795	0.8928	0.8589	0.7924	0.8775
3	0.9661	0.8784	0.8692	0.8866	0.8574	0.8915
4	0.9721	0.9075	0.903	0.8966	0.7488	0.8856
5	0.953	0.8607	0.8792	0.881	0.8186	0.8785
6	0.9685	0.8757	0.8731	0.8546	0.7657	0.8675
7	0.9501	0.8257	0.7987	0.8191	0.7808	0.8349
8	0.9497	0.8724	0.8778	0.8879	0.8326	0.8841
9	0.9614	0.8611	0.8496	0.8608	0.7517	0.8569
10	0.9476	0.8387	0.8604	0.8771	0.7506	0.8549
SD	0.009	0.0233	0.0303	0.0278	0.0374	0.0256
Average	0.9584	0.8683	0.8638	0.864	0.7883	0.8686
