	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.9043	0.5303	0.5922	0.9063	0.4477	0.6761
2	0.9186	0.9153	0.7892	0.8946	0.6679	0.8371
3	0.9272	0.7518	0.4335	0.7835	0.4859	0.6764
4	0.953	0.8333	0.5763	0.8409	0.4518	0.7311
5	0.9089	0.8061	0.7619	0.8298	0.649	0.7912
6	0.9164	0.7604	0.7129	0.7285	0.5348	0.7306
7	0.9574	0.856	0.7393	0.8392	0.6461	0.8076
8	0.9487	0.8073	0.7868	0.8858	0.5794	0.8016
9	0.8927	0.6094	0.7554	0.7143	0.5934	0.713
10	0.8595	0.8462	0.8062	0.716	0.6383	0.7732
SD	0.0301	0.1177	0.1216	0.0742	0.0844	0.0856
Average	0.9187	0.7716	0.6954	0.8139	0.5694	0.7538
