	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.9242	0.5476	0.6441	0.9256	0.4826	0.7048
2	0.9229	0.8641	0.7415	0.8656	0.7429	0.8274
3	0.9247	0.7253	0.4536	0.7969	0.4821	0.6765
4	0.951	0.8244	0.5082	0.8837	0.4187	0.7172
5	0.8938	0.8673	0.7527	0.855	0.7017	0.8141
6	0.9229	0.7939	0.7183	0.7709	0.6622	0.7736
7	0.9579	0.7787	0.751	0.8608	0.6284	0.7954
8	0.9423	0.8439	0.8075	0.8752	0.7045	0.8347
9	0.889	0.6646	0.6912	0.7625	0.7119	0.7438
10	0.867	0.8891	0.7566	0.7305	0.7264	0.7939
SD	0.0287	0.1071	0.1154	0.0631	0.1195	0.0868
Average	0.9196	0.7799	0.6825	0.8326	0.6261	0.7681
