	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.5005	0.2779	0.402	0.8082	0.2571	0.4491
2	0.6885	0.6741	0.5803	0.8247	0.5408	0.6617
3	0.5384	0.5738	0.2228	0.7508	0.0955	0.4363
4	0.7359	0.7055	0.6176	0.8671	0.3036	0.646
5	0.6205	0.8088	0.6324	0.8334	0.3056	0.6401
6	0.6745	0.7434	0.5834	0.7979	0.4752	0.6549
7	0.4474	0.5521	0.5985	0.9069	0.421	0.5852
8	0.6197	0.7975	0.7009	0.8799	0.4688	0.6934
9	0.5241	0.5969	0.5298	0.6683	0.5221	0.5682
10	0.6336	0.7934	0.8096	0.8595	0.2975	0.6787
SD	0.0922	0.1621	0.1606	0.0696	0.1405	0.125
Average	0.5983	0.6523	0.5677	0.8197	0.3687	0.6014
