	Joy	Anger	Sadness	Fear	Disgust	Average
1	-0.0127	-0.0456	-0.0317	-0.0257	0.0116	-0.0209
2	-0.0042	0.0284	0.0564	-0.0136	-0.0156	0.0103
3	0.0029	-0.0281	0.0178	-0.0052	0.0874	0.015
4	0.0039	0.0141	-0.0023	-0.0446	0.0601	0.0063
5	0.0128	-0.0541	0.0337	-0.0359	-0.1173	-0.0321
6	0.0126	-0.0429	-0.0108	-0.0557	-0.1244	-0.0443
7	0.0031	0.0611	0.0018	-0.0325	0.0355	0.0138
8	0.0102	-0.0422	0.0373	-0.0078	-0.0773	-0.016
9	0.002	-0.0222	0.0295	-0.0683	-0.0817	-0.0282
10	-0.0162	-0.0552	0.0078	-0.0781	-0.0743	-0.0432
SD	0.0043	0.0111	0.0088	0.0167	-0.0533	-0.0025
Average	0.0015	-0.0187	0.014	-0.0367	-0.0296	-0.0139
