	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.0072	-0.0283	0.0202	-0.0064	0.0465	0.0078
2	0.0001	-0.0228	0.0087	-0.0426	0.0594	0.0006
3	0.0004	-0.0546	0.0379	0.0082	0.0836	0.0151
4	0.0019	0.0052	-0.0704	-0.0018	0.027	-0.0076
5	-0.0023	0.0071	0.0245	-0.0107	-0.0646	-0.0092
6	0.0191	-0.0094	-0.0054	-0.0133	0.003	-0.0013
7	0.0036	-0.0162	0.0135	-0.0109	0.0178	0.0016
8	0.0038	-0.0056	0.058	-0.0184	0.0478	0.0171
9	-0.0017	0.033	-0.0347	-0.0201	0.0368	0.0026
10	-0.0087	-0.0123	-0.0418	-0.0636	0.0138	-0.0225
SD	0.0029	0.0005	0.0026	0.0056	-0.0182	-0.0013
Average	0.0024	-0.0104	0.0011	-0.018	0.0271	0.0004
