	Joy	Anger	Sadness	Fear	Disgust	Average
1	-0.4165	-0.298	-0.2219	-0.1238	-0.179	-0.2479
2	-0.2343	-0.2128	-0.1525	-0.0835	-0.1427	-0.1651
3	-0.3859	-0.2061	-0.1929	-0.0379	-0.303	-0.2251
4	-0.2132	-0.1137	0.039	-0.0184	-0.0881	-0.0788
5	-0.2756	-0.0514	-0.0958	-0.0323	-0.4607	-0.1832
6	-0.2293	-0.0599	-0.1403	0.0137	-0.184	-0.12
7	-0.5069	-0.2428	-0.139	0.0352	-0.1896	-0.2086
8	-0.3188	-0.052	-0.0486	-0.0137	-0.1879	-0.1242
9	-0.3666	-0.0347	-0.1961	-0.1143	-0.153	-0.173
10	-0.2421	-0.108	0.0112	0.0654	-0.4151	-0.1377
SD	0.0664	0.0555	0.0478	0.0121	0.0028	0.0369
Average	-0.3189	-0.138	-0.1137	-0.0309	-0.2303	-0.1663
