	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.917	0.5759	0.6239	0.932	0.4361	0.697
2	0.9228	0.8869	0.7328	0.9082	0.6835	0.8268
3	0.9243	0.7799	0.4157	0.7887	0.3985	0.6614
4	0.9491	0.8192	0.5786	0.8855	0.3917	0.7248
5	0.8961	0.8602	0.7282	0.8657	0.7663	0.8233
6	0.9038	0.8033	0.7237	0.7842	0.6592	0.7749
7	0.9543	0.7949	0.7375	0.8717	0.6106	0.7938
8	0.9385	0.8495	0.7495	0.8936	0.6567	0.8176
9	0.8907	0.6316	0.7259	0.7826	0.6751	0.7412
10	0.8757	0.9014	0.7984	0.7941	0.7126	0.8164
SD	0.0258	0.1066	0.1128	0.0575	0.1377	0.0881
Average	0.9172	0.7903	0.6814	0.8506	0.599	0.7677
