	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.8916	0.7858	0.6266	0.7608	0.4365	0.7003
2	0.9386	0.6631	0.677	0.765	0.6349	0.7357
3	0.9631	0.8103	0.7551	0.8224	0.4851	0.7672
4	0.9326	0.7794	0.5121	0.6857	0.4677	0.6755
5	0.948	0.6954	0.7168	0.8322	0.6761	0.7737
6	0.9279	0.7929	0.6677	0.8458	0.537	0.7543
7	0.9224	0.8004	0.7364	0.9084	0.7196	0.8174
8	0.9075	0.7662	0.8081	0.8404	0.4998	0.7644
9	0.9018	0.8145	0.7402	0.876	0.5317	0.7728
10	0.8664	0.814	0.786	0.8086	0.4252	0.74
SD	0.0286	0.0519	0.0866	0.0638	0.102	0.0666
Average	0.92	0.7722	0.7026	0.8145	0.5414	0.7501
