	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.9101	0.8111	0.6512	0.7763	0.5994	0.7496
2	0.9542	0.622	0.5971	0.7182	0.5473	0.6878
3	0.9644	0.8314	0.7168	0.8329	0.6967	0.8084
4	0.9319	0.7528	0.5285	0.6714	0.5149	0.6799
5	0.9463	0.752	0.6849	0.8479	0.6325	0.7727
6	0.9338	0.7242	0.6087	0.7928	0.6227	0.7365
7	0.9248	0.7942	0.7832	0.9111	0.7547	0.8336
8	0.9118	0.8449	0.8296	0.9104	0.7689	0.8531
9	0.8856	0.7952	0.767	0.9295	0.6093	0.7973
10	0.8737	0.8353	0.6475	0.8318	0.5763	0.7529
SD	0.029	0.0673	0.0935	0.0847	0.0841	0.0717
Average	0.9237	0.7763	0.6815	0.8222	0.6323	0.7672
