	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.567	0.8236	0.4635	0.7818	0.3147	0.5901
2	0.56	0.3876	0.3963	0.8147	0.1995	0.4716
3	0.7911	0.805	0.6614	0.8499	0.3761	0.6967
4	0.6275	0.6178	0.4478	0.7957	0.1944	0.5367
5	0.6971	0.6359	0.5951	0.8644	0.507	0.6599
6	0.4728	0.3424	0.5001	0.7437	0.2939	0.4706
7	0.7864	0.7085	0.6985	0.8913	0.5838	0.7337
8	0.5304	0.8108	0.7312	0.8413	0.3281	0.6484
9	0.5673	0.5594	0.5733	0.8196	0.2596	0.5558
10	0.396	0.6252	0.6456	0.814	0.6011	0.6164
SD	0.1282	0.1679	0.1148	0.0426	0.1492	0.1205
Average	0.5996	0.6316	0.5713	0.8216	0.3658	0.598
