	Joy	Anger	Sadness	Fear	Disgust	Average
1	-0.0112	-0.0006	0.0317	-0.0214	-0.0932	-0.0189
2	0.0018	0.0133	0.0083	-0.0489	0.086	0.0121
3	-0.0014	-0.0465	0.03	-0.0368	-0.1508	-0.0411
4	-0.0017	0.0145	0.0254	-0.0224	-0.0348	-0.0038
5	-0.0016	-0.0553	0.0231	-0.0303	0.0799	0.0032
6	-0.0112	0.0239	0.001	0.0151	-0.0988	-0.014
7	-0.0056	-0.0023	-0.0062	-0.009	-0.0362	-0.0119
8	0.0027	-0.0633	-0.0566	-0.0757	-0.2014	-0.0789
9	0.0126	0.0393	0.0596	-0.0429	0.0008	0.0139
10	-0.0012	0.0201	0.0388	-0.0382	-0.0718	-0.0105
SD	-0.0012	-0.0031	-0.0129	-0.003	0.0144	-0.0011
Average	-0.0017	-0.0057	0.0155	-0.0311	-0.052	-0.015
