	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.0073	0.0247	0.0563	-0.0059	0.0697	0.0304
2	0.0174	-0.0278	-0.0716	-0.0957	-0.0016	-0.0358
3	-0.0001	-0.0254	-0.0083	-0.0263	0.0608	0.0001
4	-0.0024	-0.0121	0.0418	-0.0367	0.0124	0.0006
5	-0.0033	0.0013	-0.0088	-0.0146	0.0363	0.0022
6	-0.0053	-0.0448	-0.058	-0.0379	-0.0131	-0.0318
7	-0.0032	-0.0085	0.0406	-0.0063	-0.0011	0.0043
8	0.007	0.0154	-0.0351	-0.0057	0.0677	0.0098
9	-0.0036	0.02	0.0864	0.0106	0.0784	0.0384
10	0.0061	0.0414	-0.0997	-0.015	0.0793	0.0024
SD	-0.0008	0.0123	-0.006	0.0179	-0.0035	0.004
Average	0.002	-0.0016	-0.0056	-0.0234	0.0389	0.0021
