	Joy	Anger	Sadness	Fear	Disgust	Average
1	-0.3358	0.0372	-0.1314	-0.0004	-0.215	-0.1291
2	-0.3768	-0.2622	-0.2724	0.0008	-0.3494	-0.252
3	-0.1734	-0.0518	-0.0637	-0.0093	-0.2598	-0.1116
4	-0.3068	-0.1471	-0.0389	0.0876	-0.3081	-0.1426
5	-0.2525	-0.1148	-0.0986	0.0019	-0.0892	-0.1106
6	-0.4663	-0.4266	-0.1666	-0.087	-0.3419	-0.2977
7	-0.1416	-0.0942	-0.0441	-0.0261	-0.172	-0.0956
8	-0.3744	-0.0187	-0.1335	-0.0748	-0.3731	-0.1949
9	-0.3219	-0.2158	-0.1073	-0.0993	-0.2713	-0.2031
10	-0.4716	-0.1687	-0.1016	-0.0328	0.1041	-0.1341
SD	0.0984	0.1129	0.0153	-0.0242	0.0616	0.0528
Average	-0.3221	-0.1463	-0.1158	-0.024	-0.2276	-0.1671
