	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.9028	0.7864	0.5949	0.7822	0.5297	0.7192
2	0.9368	0.6498	0.6687	0.8139	0.5489	0.7236
3	0.9645	0.8568	0.7251	0.8592	0.6359	0.8083
4	0.9343	0.7649	0.4867	0.7081	0.5025	0.6793
5	0.9496	0.7507	0.6937	0.8625	0.5962	0.7705
6	0.9391	0.769	0.6667	0.8307	0.6358	0.7683
7	0.928	0.8027	0.7426	0.9174	0.7558	0.8293
8	0.9048	0.8295	0.8647	0.9161	0.7012	0.8433
9	0.8892	0.7752	0.6806	0.9189	0.5309	0.7589
10	0.8676	0.7939	0.7472	0.8468	0.497	0.7505
SD	0.0298	0.055	0.0995	0.0668	0.0876	0.0677
Average	0.9217	0.7779	0.6871	0.8456	0.5934	0.7651
