	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.926	0.8542	0.768	0.7726	0.8511	0.8344
2	0.9232	0.7856	0.7707	0.7322	0.8168	0.8057
3	0.9324	0.7942	0.7151	0.6432	0.7785	0.7727
4	0.9572	0.8315	0.8481	0.8228	0.8499	0.8619
5	0.9025	0.8202	0.8122	0.7349	0.798	0.8136
6	0.9352	0.7814	0.7884	0.6637	0.7726	0.7883
7	0.944	0.8319	0.8424	0.7608	0.8484	0.8455
8	0.9406	0.8645	0.8207	0.7995	0.7407	0.8332
9	0.9179	0.879	0.765	0.7796	0.7936	0.827
10	0.9639	0.8806	0.8394	0.7622	0.8614	0.8615
SD	0.0183	0.0371	0.043	0.0565	0.0409	0.0391
Average	0.9343	0.8323	0.797	0.7471	0.8111	0.8244
