	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.9285	0.857	0.763	0.7868	0.8401	0.8351
2	0.9188	0.7606	0.7787	0.7846	0.8143	0.8114
3	0.9352	0.824	0.7505	0.6979	0.7871	0.7989
4	0.9562	0.8082	0.8141	0.8513	0.8401	0.854
5	0.9027	0.7823	0.8103	0.7919	0.8089	0.8192
6	0.9361	0.8026	0.7809	0.7199	0.8009	0.8081
7	0.9456	0.8324	0.8175	0.7918	0.8433	0.8461
8	0.9505	0.8496	0.8094	0.8096	0.7693	0.8377
9	0.9225	0.8771	0.783	0.8232	0.7978	0.8407
10	0.9604	0.8792	0.8345	0.7844	0.8571	0.8631
SD	0.0181	0.0395	0.0268	0.0452	0.0283	0.0316
Average	0.9356	0.8273	0.7942	0.7841	0.8159	0.8314
