	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.7224	0.782	0.755	0.6822	0.8111	0.7505
2	0.6705	0.6738	0.7306	0.7015	0.7061	0.6965
3	0.6359	0.712	0.6788	0.5122	0.6131	0.6304
4	0.6616	0.7465	0.8121	0.8062	0.7133	0.748
5	0.6777	0.6493	0.7476	0.693	0.6632	0.6862
6	0.643	0.6903	0.763	0.6666	0.6863	0.6899
7	0.5827	0.7257	0.7425	0.6969	0.7472	0.699
8	0.6997	0.7759	0.8185	0.725	0.677	0.7392
9	0.6142	0.7489	0.7153	0.7099	0.7049	0.6986
10	0.7262	0.806	0.813	0.7364	0.8018	0.7767
SD	0.0461	0.0503	0.0457	0.0742	0.0608	0.0554
Average	0.6634	0.7311	0.7576	0.693	0.7124	0.7115
