	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.0012	-0.0063	-0.0322	-0.0129	0.0019	-0.0096
2	0.0079	-0.0239	-0.0206	-0.0436	0.0039	-0.0152
3	-0.006	-0.0252	-0.0439	-0.0443	0.0018	-0.0235
4	0.0015	-0.0031	-0.0005	-0.0263	0.0151	-0.0027
5	0.0046	-0.0042	-0.0071	-0.066	-0.0036	-0.0152
6	-0.0036	-0.0142	-0.0026	-0.0606	-0.0198	-0.0201
7	0.0053	-0.0191	0.0127	-0.0328	0.0019	-0.0064
8	0.0061	0.0021	-0.0043	-0.0228	-0.0168	-0.0071
9	-0.001	-0.0028	-0.0137	-0.0458	-0.0078	-0.0142
10	0.0013	0.0003	0.0031	-0.0293	-0.0022	-0.0054
SD	-0.0008	0.0073	0.0147	0.0085	0.0067	0.0072
Average	0.0017	-0.0097	-0.0109	-0.0385	-0.0026	-0.0119
