	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.0037	-0.0035	-0.0372	0.0013	-0.0091	-0.0089
2	0.0035	-0.0489	-0.0126	0.0088	0.0014	-0.0095
3	-0.0032	0.0046	-0.0085	0.0104	0.0104	0.0027
4	0.0005	-0.0264	-0.0345	0.0022	0.0053	-0.0106
5	0.0048	-0.0421	-0.009	-0.009	0.0073	-0.0096
6	-0.0027	0.007	-0.0101	-0.0044	0.0085	-0.0003
7	0.0069	-0.0186	-0.0122	-0.0018	-0.0032	-0.0058
8	0.016	-0.0128	-0.0156	-0.0127	0.0118	-0.0026
9	0.0036	-0.0047	0.0043	-0.0022	-0.0036	-0.0005
10	-0.0022	-0.0011	-0.0018	-0.0071	-0.0065	-0.0038
SD	-0.001	0.0097	-0.0015	-0.0028	-0.0059	-0.0003
Average	0.003	-0.0147	-0.0137	-0.0015	0.0022	-0.0049
