	Joy	Anger	Sadness	Fear	Disgust	Average
1	-0.2024	-0.0785	-0.0452	-0.1033	-0.0381	-0.0935
2	-0.2448	-0.1357	-0.0607	-0.0743	-0.1068	-0.1244
3	-0.3025	-0.1074	-0.0802	-0.1753	-0.1636	-0.1658
4	-0.2941	-0.0881	-0.0365	-0.0429	-0.1215	-0.1166
5	-0.2202	-0.1751	-0.0717	-0.1079	-0.1384	-0.1426
6	-0.2958	-0.1053	-0.028	-0.0577	-0.1061	-0.1185
7	-0.356	-0.1253	-0.0872	-0.0967	-0.0993	-0.1529
8	-0.2348	-0.0865	-0.0065	-0.0973	-0.0805	-0.1011
9	-0.3047	-0.1329	-0.0634	-0.1155	-0.0965	-0.1426
10	-0.2364	-0.0743	-0.0233	-0.0551	-0.0618	-0.0902
SD	0.027	0.0205	0.0174	0.0262	0.0266	0.0235
Average	-0.2692	-0.1109	-0.0503	-0.0926	-0.1013	-0.1248
