	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.9248	0.8605	0.8002	0.7855	0.8492	0.844
2	0.9153	0.8095	0.7913	0.7758	0.8129	0.8209
3	0.9384	0.8194	0.759	0.6875	0.7767	0.7962
4	0.9557	0.8346	0.8486	0.8491	0.8348	0.8646
5	0.8979	0.8244	0.8193	0.8009	0.8016	0.8288
6	0.9388	0.7956	0.791	0.7243	0.7924	0.8084
7	0.9387	0.851	0.8297	0.7936	0.8465	0.8519
8	0.9345	0.8624	0.825	0.8223	0.7575	0.8403
9	0.9189	0.8818	0.7787	0.8254	0.8014	0.8412
10	0.9626	0.8803	0.8363	0.7915	0.8636	0.8669
SD	0.0191	0.0298	0.0283	0.048	0.0342	0.0319
Average	0.9326	0.842	0.8079	0.7856	0.8137	0.8363
