	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.8766	0.7653	0.7966	0.7355	0.8019	0.7952
2	0.9646	0.8725	0.852	0.7584	0.8066	0.8508
3	0.9458	0.8327	0.7282	0.7197	0.7611	0.7975
4	0.9631	0.8494	0.8122	0.7878	0.8262	0.8477
5	0.9428	0.8753	0.8243	0.7703	0.8721	0.8569
6	0.9162	0.831	0.7586	0.7825	0.8385	0.8254
7	0.902	0.7701	0.8157	0.701	0.7871	0.7952
8	0.9476	0.8647	0.8727	0.8124	0.8262	0.8647
9	0.9558	0.8542	0.7872	0.7133	0.8421	0.8305
10	0.9223	0.8185	0.7755	0.7271	0.7434	0.7974
SD	0.0287	0.0392	0.0429	0.0369	0.0389	0.0373
Average	0.9337	0.8334	0.8023	0.7508	0.8105	0.8261
