	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.8894	0.7365	0.7817	0.7901	0.8011	0.7998
2	0.9607	0.8714	0.8382	0.8331	0.8087	0.8624
3	0.9512	0.8512	0.7331	0.7608	0.7472	0.8087
4	0.9611	0.8533	0.8215	0.7788	0.8397	0.8509
5	0.9442	0.8753	0.8504	0.7964	0.8745	0.8681
6	0.9214	0.8051	0.7567	0.8056	0.8396	0.8257
7	0.9051	0.7828	0.8068	0.7706	0.7841	0.8099
8	0.948	0.872	0.85	0.8394	0.8523	0.8723
9	0.9564	0.8224	0.8094	0.7785	0.8512	0.8436
10	0.9157	0.8155	0.7145	0.7491	0.7418	0.7873
SD	0.0255	0.0452	0.0483	0.0293	0.0454	0.0387
Average	0.9353	0.8285	0.7962	0.7902	0.814	0.8329
