	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.5254	0.6288	0.7659	0.6558	0.7113	0.6574
2	0.6832	0.8078	0.8236	0.7326	0.7306	0.7555
3	0.7027	0.7206	0.6947	0.6039	0.712	0.6868
4	0.6921	0.7749	0.7349	0.6989	0.737	0.7276
5	0.6389	0.8041	0.8205	0.7397	0.7833	0.7573
6	0.6145	0.6505	0.6928	0.6906	0.6863	0.6669
7	0.5868	0.7151	0.773	0.68	0.6494	0.6809
8	0.7211	0.7906	0.8104	0.7336	0.7414	0.7594
9	0.7061	0.7091	0.7352	0.7132	0.7416	0.7211
10	0.6985	0.7264	0.7175	0.7042	0.6766	0.7046
SD	0.0638	0.0619	0.0496	0.0414	0.0386	0.051
Average	0.6569	0.7328	0.7569	0.6953	0.7169	0.7118
