	Joy	Anger	Sadness	Fear	Disgust	Average
1	-0.0034	0.0054	0.0059	-0.0294	-0.0052	-0.0053
2	0.005	-0.0129	-0.0051	-0.068	0.0058	-0.0151
3	-0.0024	-0.0104	-0.0205	-0.0499	-0.0072	-0.0181
4	-0.0005	-0.0146	-0.0014	-0.01	-0.0042	-0.0062
5	0.0066	-0.0172	-0.018	-0.0228	0.0061	-0.0091
6	0.0046	0.0093	-0.0251	-0.0311	-0.0005	-0.0085
7	0.0025	-0.0269	-0.0189	-0.0693	-0.0044	-0.0234
8	0.0026	-0.0117	0.0077	-0.028	-0.0126	-0.0084
9	-0.0004	0.0114	-0.0131	-0.0644	-0.007	-0.0147
10	0.0047	-0.0091	0.0109	-0.0207	-0.0078	-0.0044
SD	0.0004	-0.0023	0.0036	0.0074	0.0021	0.0022
Average	0.002	-0.0077	-0.0077	-0.0394	-0.0037	-0.0113
