	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.0094	-0.0234	-0.009	0.0252	-0.006	-0.0007
2	0.0011	-0.014	-0.0189	0.0067	0.0079	-0.0035
3	0.003	0.0081	-0.0156	-0.0088	-0.0211	-0.0069
4	-0.0025	-0.0107	0.0079	-0.019	0.0093	-0.003
5	0.008	-0.0172	0.0081	0.0033	0.0085	0.0021
6	0.0098	-0.0166	-0.027	-0.008	0.0006	-0.0082
7	0.0056	-0.0142	-0.0278	0.0003	-0.0074	-0.0087
8	0.003	-0.0044	-0.015	-0.001	0.0135	-0.0008
9	0.0002	-0.0204	0.0091	0.0008	0.0021	-0.0016
10	-0.0019	-0.0121	-0.0501	0.0013	-0.0094	-0.0145
SD	-0.0028	0.0037	0.009	-0.0002	0.0086	0.0036
Average	0.0036	-0.0126	-0.0138	0.0	-0.0002	-0.0045
