	Joy	Anger	Sadness	Fear	Disgust	Average
1	-0.3546	-0.1311	-0.0248	-0.1091	-0.0958	-0.1431
2	-0.2764	-0.0776	-0.0335	-0.0938	-0.0702	-0.1104
3	-0.2455	-0.1225	-0.054	-0.1657	-0.0563	-0.1288
4	-0.2715	-0.0891	-0.0787	-0.0989	-0.0934	-0.1263
5	-0.2973	-0.0884	-0.0218	-0.0534	-0.0827	-0.1087
6	-0.2971	-0.1712	-0.0909	-0.123	-0.1527	-0.167
7	-0.3127	-0.0819	-0.0616	-0.0903	-0.1421	-0.1377
8	-0.2239	-0.0858	-0.0546	-0.1068	-0.0974	-0.1137
9	-0.2501	-0.1337	-0.0651	-0.0645	-0.1075	-0.1241
10	-0.2191	-0.1012	-0.0471	-0.0436	-0.0746	-0.0972
SD	0.0355	0.0204	0.0103	0.0119	0.0018	0.0159
Average	-0.2748	-0.1083	-0.0531	-0.0949	-0.0973	-0.1256
