	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.88	0.7599	0.7907	0.7649	0.8071	0.8005
2	0.9596	0.8854	0.8571	0.8264	0.8008	0.8659
3	0.9482	0.8431	0.7487	0.7696	0.7683	0.8156
4	0.9636	0.864	0.8136	0.7978	0.8304	0.8539
5	0.9362	0.8925	0.8423	0.7931	0.866	0.866
6	0.9116	0.8217	0.7837	0.8136	0.839	0.8339
7	0.8995	0.797	0.8346	0.7703	0.7915	0.8186
8	0.945	0.8764	0.865	0.8404	0.8388	0.8731
9	0.9562	0.8428	0.8003	0.7777	0.8491	0.8452
10	0.9176	0.8276	0.7646	0.7478	0.7512	0.8018
SD	0.0283	0.0415	0.0393	0.0295	0.0368	0.0351
Average	0.9317	0.8411	0.81	0.7902	0.8142	0.8374
