	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.9498	0.77	0.7946	0.8208	0.6928	0.8056
2	0.9641	0.7313	0.8196	0.8406	0.8062	0.8324
3	0.9735	0.7804	0.8223	0.7999	0.7534	0.8259
4	0.9531	0.7743	0.8183	0.8301	0.6031	0.7958
5	0.9263	0.7191	0.7795	0.7665	0.6645	0.7712
6	0.9439	0.7966	0.7841	0.8092	0.7122	0.8092
7	0.9615	0.8767	0.8976	0.8377	0.7255	0.8598
8	0.933	0.7873	0.8561	0.8722	0.6823	0.8262
9	0.9478	0.8151	0.8287	0.8556	0.7222	0.8339
10	0.9484	0.8195	0.8005	0.8432	0.6836	0.819
SD	0.0141	0.045	0.0355	0.0301	0.0543	0.0358
Average	0.9501	0.787	0.8201	0.8276	0.7046	0.8179
