	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.952	0.8394	0.778	0.8262	0.6984	0.8188
2	0.9643	0.8386	0.7796	0.847	0.7395	0.8338
3	0.9742	0.8108	0.8428	0.8033	0.7269	0.8316
4	0.9649	0.8099	0.7778	0.8138	0.6176	0.7968
5	0.9393	0.8161	0.782	0.7955	0.6914	0.8049
6	0.9478	0.8012	0.7834	0.8307	0.6899	0.8106
7	0.9669	0.8712	0.8801	0.8259	0.6862	0.8461
8	0.9527	0.8359	0.8498	0.8698	0.6991	0.8415
9	0.9488	0.8913	0.8004	0.8474	0.7055	0.8387
10	0.9525	0.858	0.7889	0.8347	0.7101	0.8288
SD	0.0107	0.0293	0.0372	0.0221	0.0324	0.0263
Average	0.9563	0.8372	0.8063	0.8294	0.6965	0.8252
