	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.8161	0.7248	0.7357	0.8554	0.4839	0.7232
2	0.7303	0.6697	0.6999	0.833	0.4574	0.678
3	0.8391	0.6945	0.8003	0.8291	0.5799	0.7486
4	0.792	0.7335	0.7078	0.8231	0.4728	0.7058
5	0.7706	0.7116	0.6733	0.8086	0.4895	0.6907
6	0.7846	0.6881	0.6477	0.8526	0.4092	0.6764
7	0.8646	0.8067	0.8288	0.8755	0.5695	0.789
8	0.8588	0.7608	0.8214	0.8955	0.6166	0.7906
9	0.7953	0.8453	0.8632	0.9152	0.6238	0.8085
10	0.7566	0.7887	0.7083	0.8576	0.4919	0.7206
SD	0.0439	0.0568	0.074	0.0334	0.0727	0.0562
Average	0.8008	0.7424	0.7486	0.8546	0.5194	0.7332
