	Joy	Anger	Sadness	Fear	Disgust	Average
1	-0.0029	-0.0655	0.0176	-0.0521	-0.0077	-0.0221
2	0.0033	-0.1028	0.0028	-0.0377	0.0091	-0.025
3	0.0009	-0.036	-0.0116	-0.0295	0.0123	-0.0128
4	-0.0108	-0.0735	-0.0047	-0.0319	-0.086	-0.0414
5	-0.0165	-0.1097	0.0062	-0.0551	-0.0569	-0.0464
6	-0.0074	-0.0372	-0.0127	-0.0496	-0.0037	-0.0221
7	-0.0055	-0.0051	0.0153	-0.0291	-0.0196	-0.0088
8	-0.018	-0.0702	-0.0183	-0.032	-0.0411	-0.0359
9	-0.0057	-0.0823	-0.0247	-0.0417	-0.0418	-0.0392
10	-0.0038	-0.0433	-0.0018	-0.0254	-0.0778	-0.0305
SD	0.0051	0.0196	-0.0024	0.0042	0.0218	0.0097
Average	-0.0067	-0.0626	-0.0032	-0.0384	-0.0313	-0.0284
