	Joy	Anger	Sadness	Fear	Disgust	Average
1	-0.0007	0.0039	0.001	-0.0467	-0.0021	-0.0089
2	0.0035	0.0045	-0.0372	-0.0313	-0.0576	-0.0236
3	0.0016	-0.0056	0.0089	-0.0261	-0.0142	-0.0071
4	0.001	-0.0379	-0.0452	-0.0482	-0.0715	-0.0404
5	-0.0035	-0.0127	0.0087	-0.0261	-0.03	-0.0127
6	-0.0035	-0.0326	-0.0134	-0.0281	-0.026	-0.0207
7	-0.0001	-0.0106	-0.0022	-0.0409	-0.0589	-0.0225
8	0.0017	-0.0216	-0.0246	-0.0344	-0.0243	-0.0206
9	-0.0047	-0.0061	-0.053	-0.0499	-0.0585	-0.0344
10	0.0003	-0.0048	-0.0134	-0.0339	-0.0513	-0.0207
SD	0.0017	0.0039	-0.0007	-0.0038	-0.0001	0.0002
Average	-0.0005	-0.0124	-0.017	-0.0366	-0.0394	-0.0211
