	Joy	Anger	Sadness	Fear	Disgust	Average
1	-0.1366	-0.1107	-0.0413	-0.0175	-0.2166	-0.1045
2	-0.2305	-0.1644	-0.1169	-0.0453	-0.3397	-0.1794
3	-0.1335	-0.1219	-0.0336	-0.0003	-0.1612	-0.0901
4	-0.1719	-0.1143	-0.1152	-0.0389	-0.2163	-0.1314
5	-0.1722	-0.1172	-0.1	-0.013	-0.2319	-0.1269
6	-0.1667	-0.1457	-0.1491	-0.0062	-0.3067	-0.1549
7	-0.1024	-0.0751	-0.0535	0.0087	-0.1756	-0.0796
8	-0.0922	-0.0967	-0.053	-0.0087	-0.1068	-0.0715
9	-0.1582	-0.0521	0.0098	0.0179	-0.1402	-0.0646
10	-0.1956	-0.0741	-0.094	-0.011	-0.2695	-0.1289
SD	0.0349	0.0314	0.0361	0.0075	0.0402	0.0301
Average	-0.156	-0.1072	-0.0747	-0.0114	-0.2165	-0.1131
