	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.9527	0.8355	0.777	0.8729	0.7005	0.8277
2	0.9608	0.8341	0.8168	0.8783	0.7971	0.8574
3	0.9726	0.8164	0.8339	0.8294	0.7411	0.8387
4	0.9639	0.8478	0.823	0.862	0.6891	0.8372
5	0.9428	0.8288	0.7733	0.8216	0.7214	0.8176
6	0.9513	0.8338	0.7968	0.8588	0.7159	0.8313
7	0.967	0.8818	0.8823	0.8668	0.7451	0.8686
8	0.951	0.8575	0.8744	0.9042	0.7234	0.8621
9	0.9535	0.8974	0.8534	0.8973	0.764	0.8731
10	0.9522	0.8628	0.8023	0.8686	0.7614	0.8495
SD	0.009	0.0254	0.0379	0.0259	0.0325	0.0261
Average	0.9568	0.8496	0.8233	0.866	0.7359	0.8463
