	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.9713	0.8904	0.8447	0.854	0.8153	0.8752
2	0.9771	0.8648	0.8555	0.8424	0.7562	0.8592
3	0.9728	0.9416	0.8516	0.8509	0.7724	0.8779
4	0.9804	0.8849	0.866	0.8558	0.8231	0.882
5	0.9767	0.9236	0.8967	0.8551	0.8319	0.8968
6	0.9851	0.8818	0.9132	0.8656	0.7686	0.8829
7	0.9793	0.8984	0.808	0.8113	0.7428	0.848
8	0.9806	0.8837	0.9207	0.869	0.8171	0.8942
9	0.9622	0.9318	0.8705	0.8419	0.8624	0.8938
10	0.9594	0.8989	0.8071	0.8072	0.7899	0.8525
SD	0.0082	0.0246	0.039	0.0209	0.038	0.0261
Average	0.9745	0.9	0.8634	0.8453	0.798	0.8762
