	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.9752	0.8947	0.8463	0.8892	0.8333	0.8877
2	0.9792	0.8616	0.8568	0.8946	0.8	0.8784
3	0.9778	0.9492	0.828	0.8639	0.7963	0.8831
4	0.9792	0.9057	0.8692	0.856	0.7927	0.8806
5	0.9754	0.9354	0.895	0.9148	0.8183	0.9078
6	0.9851	0.9187	0.9188	0.8829	0.7775	0.8966
7	0.9814	0.8421	0.8271	0.8426	0.7535	0.8494
8	0.9809	0.907	0.9077	0.9162	0.8242	0.9072
9	0.963	0.9269	0.868	0.8295	0.8867	0.8948
10	0.9662	0.9016	0.8241	0.8101	0.7946	0.8593
SD	0.0069	0.0325	0.0342	0.0357	0.0361	0.0291
Average	0.9763	0.9043	0.8641	0.87	0.8077	0.8845
