	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.1122	0.4041	0.1018	0.4928	0.3034	0.2829
2	0.1831	0.3768	0.1556	0.4684	0.1942	0.2756
3	0.1075	0.4609	0.2429	0.498	0.3216	0.3262
4	0.2418	0.4591	0.2573	0.475	0.391	0.3648
5	0.174	0.5224	0.3892	0.5832	0.3636	0.4065
6	0.2292	0.3428	0.2894	0.4403	0.1964	0.2996
7	0.3518	0.4117	0.3065	0.574	0.266	0.382
8	0.1391	0.5961	0.5322	0.6701	0.5276	0.493
9	0.1704	0.5362	0.3641	0.4465	0.3929	0.382
10	0.1664	0.4561	0.3555	0.4582	0.2276	0.3328
SD	0.0723	0.0776	0.1222	0.0746	0.1044	0.0902
Average	0.1875	0.4566	0.2994	0.5106	0.3184	0.3545
