	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.0	-0.0014	0.0171	-0.0431	-0.0272	-0.0109
2	-0.0018	-0.0006	0.0136	-0.0476	-0.0098	-0.0092
3	-0.001	-0.0071	0.0193	-0.0296	-0.0236	-0.0084
4	0.0018	-0.0168	0.0162	-0.0053	0.0134	0.0018
5	0.0016	-0.0045	0.0137	-0.0342	0.0158	-0.0015
6	0.0004	-0.0295	-0.0107	-0.036	-0.0151	-0.0182
7	0.0006	0.0332	0.0099	-0.0408	0.0164	0.0039
8	0.0021	-0.0209	0.003	-0.0359	0.0054	-0.0093
9	0.0019	-0.0079	-0.0069	-0.0103	0.0007	-0.0045
10	-0.0035	-0.007	-0.0085	-0.0151	0.0064	-0.0055
SD	0.0006	-0.0033	-0.0034	-0.0061	-0.0004	-0.0026
Average	0.0002	-0.0063	0.0067	-0.0298	-0.0017	-0.0062
