	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.0039	0.0029	0.0187	-0.0079	-0.0092	0.0016
2	0.0003	-0.0038	0.0149	0.0046	0.034	0.01
3	0.004	0.0005	-0.0043	-0.0166	0.0003	-0.0032
4	0.0006	0.004	0.0194	-0.0051	-0.017	0.0004
5	0.0003	0.0073	0.012	0.0255	0.0022	0.0095
6	0.0004	0.0074	-0.0051	-0.0187	-0.0062	-0.0045
7	0.0027	-0.0231	0.029	-0.0095	0.0271	0.0053
8	0.0024	0.0024	-0.01	0.0113	0.0125	0.0037
9	0.0027	-0.0128	-0.0094	-0.0227	0.025	-0.0035
10	0.0033	-0.0043	0.0085	-0.0122	0.0111	0.0013
SD	-0.0007	0.0046	-0.0082	0.0087	-0.0023	0.0004
Average	0.002	-0.002	0.0074	-0.0051	0.008	0.0021
