	Joy	Anger	Sadness	Fear	Disgust	Average
1	-0.8591	-0.4877	-0.7258	-0.4043	-0.5391	-0.6032
2	-0.7958	-0.4886	-0.6863	-0.4216	-0.5718	-0.5928
3	-0.8663	-0.4878	-0.5894	-0.3825	-0.4744	-0.5601
4	-0.7368	-0.4426	-0.5925	-0.3861	-0.4187	-0.5154
5	-0.8011	-0.4057	-0.4938	-0.3061	-0.4525	-0.4918
6	-0.7555	-0.5685	-0.6345	-0.4613	-0.5873	-0.6015
7	-0.6269	-0.4535	-0.4916	-0.2781	-0.4604	-0.4621
8	-0.8394	-0.3085	-0.3855	-0.2348	-0.2841	-0.4105
9	-0.7899	-0.4035	-0.5133	-0.4057	-0.4688	-0.5163
10	-0.7965	-0.4498	-0.4601	-0.3641	-0.5559	-0.5252
SD	0.0647	0.0497	0.0798	0.0476	0.066	0.0615
Average	-0.7868	-0.4497	-0.5573	-0.3645	-0.4813	-0.5279
