	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.9713	0.8918	0.8276	0.8971	0.8425	0.8861
2	0.9789	0.8654	0.8419	0.89	0.766	0.8684
3	0.9738	0.9487	0.8323	0.8805	0.796	0.8863
4	0.9786	0.9017	0.8498	0.8611	0.8097	0.8802
5	0.9751	0.9281	0.883	0.8893	0.8161	0.8983
6	0.9847	0.9113	0.9239	0.9016	0.7837	0.9011
7	0.9787	0.8652	0.7981	0.8521	0.7264	0.8441
8	0.9785	0.9046	0.9177	0.9049	0.8117	0.9035
9	0.9603	0.9397	0.8774	0.8522	0.8617	0.8983
10	0.9629	0.9059	0.8156	0.8223	0.7835	0.858
SD	0.0076	0.0279	0.0424	0.027	0.0384	0.0287
Average	0.9743	0.9063	0.8567	0.8751	0.7997	0.8824
