	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.9685	0.763	0.7689	0.7951	0.6704	0.7932
2	0.9462	0.7845	0.7757	0.7814	0.679	0.7933
3	0.9506	0.7759	0.8308	0.8899	0.7014	0.8297
4	0.9157	0.7514	0.7829	0.8449	0.7272	0.8044
5	0.9643	0.7708	0.8631	0.8091	0.6491	0.8113
6	0.945	0.8299	0.8369	0.8503	0.7076	0.8339
7	0.9595	0.8273	0.812	0.8375	0.781	0.8434
8	0.9397	0.8071	0.8218	0.8361	0.6638	0.8137
9	0.9508	0.8058	0.8478	0.7816	0.6612	0.8094
10	0.9617	0.7881	0.8595	0.8486	0.7521	0.842
SD	0.0153	0.0265	0.0343	0.0349	0.0432	0.0308
Average	0.9502	0.7904	0.8199	0.8275	0.6993	0.8174
